Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
GPC3	4882	4925	3898	3942
HPRT1	15790	16578	1842	1877
PLAC1	394	424	296	311
LOC100506790	0	1	0	0
INTS6L	514	501	531	525
FHL1	11226	11382	8647	9313
ARHGEF6	747	779	1298	1412
FGF13	22	26	23	21
MCF2	0	2	0	0
LINC00632	73	79	44	49
CXorf40A	1811	1894	1888	2067
MAMLD1	156	150	164	181
MTM1	1328	1265	1214	1223
MTMR1	7998	8265	8284	8479
CD99L2	5020	5430	6476	6933
PASD1	0	0	0	1
GABRA3	3	2	2	2
MAGEA3	16	12	3	6
CETN2	6027	6134	6046	6374
ZNF185	486	492	299	343
LOC105373378	4	7	1	3
HAUS7	4674	4812	3091	3199
L1CAM	26	29	34	20
TEX28	1	0	0	0
DNASE1L1	1790	1793	1470	1548
G6PD	5963	6403	3379	3371
MPP1	2563	2564	2132	2244
F8	179	197	111	105
CLIC2	9	10	5	8
TMLHE	1507	1527	1043	1103
SPRY3	4	0	5	5
PLCXD1	0	0	0	0
GTPBP6	0	0	0	0
LINC00685	0	0	0	0
PPP2R3B	0	0	0	0
CRLF2	0	0	0	0
CSF2RA	0	0	0	0
MIR3690	0	0	0	0
IL3RA	0	0	0	0
SLC25A6	0	0	0	0
LINC00106	0	0	0	0
ASMTL-AS1	0	0	0	0
P2RY8	0	0	0	0
AKAP17A	0	0	0	0
ASMT	0	0	0	0
MIR6089	0	0	0	0
LINC00102	0	0	0	0
CD99	0	0	0	0
GYG2	2173	2152	1390	1455
ARSD	4	0	1	0
ARSE	3	4	1	0
ARSF	0	0	0	0
MXRA5	0	0	0	0
PRKX-AS1	0	0	0	0
LOC389906	433	356	365	451
LOC101928201	0	0	0	0
LOC105373156	0	0	0	0
MIR4770	0	0	0	0
VCX3A	0	0	0	0
MIR4767	0	0	0	0
VCX	0	0	1	0
PNPLA4	232	248	316	331
MIR651	0	0	0	0
VCX2	0	0	0	0
VCX3B	0	0	0	0
FAM9A	0	0	0	0
FAM9B	0	0	0	0
GPR143	1	2	1	2
CLDN34	0	0	0	0
HCCS	4868	5140	2095	2325
AMELX	0	0	0	0
MIR548AX	0	0	0	0
MSL3	2467	2504	1447	1494
PRPS2	5473	5696	4078	4388
TLR7	0	0	0	1
TLR8-AS1	0	1	0	0
TLR8	0	0	0	0
FAM9C	0	0	0	0
GS1-600G8.3	0	0	0	0
ATXN3L	0	0	0	0
LINC01203	0	0	0	0
MIR6086	0	0	0	0
TCEANC	269	309	362	377
RAB9A	2578	2768	2631	2761
TRAPPC2	1599	1578	1203	1154
UBE2E4P	3	2	5	4
FANCB	861	798	553	495
MOSPD2	1317	1388	863	844
ASB9	3	0	1	2
ASB11	2	2	0	4
FIGF	2	4	8	5
BMX	0	1	2	3
GS1-594A7.3	2	1	1	2
TMEM27	74	86	54	72
CA5BP1	886	875	653	620
CA5B	331	220	144	160
INE2	0	0	0	0
ZRSR2	581	544	500	518
AP1S2	4086	4017	1974	1958
GRPR	4	3	6	5
MAGEB17	0	1	0	0
MIR548AM	0	0	0	0
S100G	0	0	0	0
SYAP1	7023	6952	7248	7608
TXLNG	8983	8713	6210	6596
RBBP7	28117	27722	28358	29916
MIR4768	0	0	0	0
NHS-AS1	0	0	0	0
SCML1	7093	7002	317	381
RS1	3	1	1	0
PPEF1-AS1	0	0	0	0
PHKA2-AS1	6	10	5	7
PHKA2	1682	1581	1421	1417
PDHA1	11845	12039	8095	8567
LOC729609	0	0	0	0
MIR23C	0	0	0	0
EIF1AX	21518	21640	11287	12140
SCARNA9L	6	7	2	4
EIF1AX-AS1	1	2	2	0
KLHL34	0	0	0	0
MBTPS2	2736	2530	3946	3890
YY2	308	304	268	300
SMS	9296	9343	7489	8002
PHEX-AS1	0	3	3	1
ZNF645	0	0	0	0
DDX53	0	1	0	0
PTCHD1	1	5	2	0
PRDX4	17194	17845	9392	9588
SAT1	683	594	259	274
CXorf58	14	9	22	34
EIF2S3	24462	23500	18112	18570
ZFX-AS1	6	3	1	3
ZFX	3704	3365	3103	3010
SUPT20HL2	0	0	0	2
SUPT20HL1	0	0	0	0
PCYT1B-AS1	0	0	0	0
SCARNA23	7	6	2	1
ARX	5	2	4	10
MAGEB18	0	0	0	0
MAGEB6	17	17	15	26
MAGEB5	0	0	0	0
VENTXP1	0	0	0	0
PPP4R3CP	0	0	0	0
DCAF8L2	0	0	0	0
MAGEB10	0	0	1	0
DCAF8L1	1	1	2	2
MIR6134	0	0	0	0
MIR4666B	0	0	0	0
MAGEB2	33	30	22	25
MAGEB3	0	0	0	0
MAGEB4	0	0	0	0
MAGEB1	1	5	5	4
NR0B1	0	0	0	0
CXorf21	0	0	0	0
TAB3	2286	2180	2496	2560
FTHL17	0	0	0	0
MIR3915	0	0	0	0
MIR548F5	0	0	0	0
FAM47A	0	0	0	0
TMEM47	1938	2074	1284	1329
FAM47B	0	0	0	0
MAGEB16	0	0	0	0
FAM47C	0	0	0	0
FTH1P18	0	0	0	0
XK	495	510	518	519
CYBB	36	32	17	12
DYNLT3	1702	1742	1192	1305
HYPM	0	0	0	0
MIR548AJ2	0	0	0	0
SRPX	182	212	181	207
MID1IP1-AS1	59	44	27	42
MID1IP1	3626	3523	1694	1578
LINC01282	0	0	0	0
MIR3937	0	0	0	0
MIR1587	0	0	0	0
LOC101927476	1	1	1	1
ATP6AP2	9268	9444	3188	3517
MPC1L	0	0	0	0
MED14	8321	8025	7441	7519
MED14OS	64	77	46	36
LOC100132831	0	0	1	0
LOC105373185	2	7	14	6
DDX3X	46652	45752	27262	28346
NYX	0	0	0	0
GPR34	1	2	1	1
GPR82	0	0	0	0
PPP1R2P9	0	0	0	0
LOC101927501	2	5	1	6
MAOA	111	104	80	72
NDP	0	0	0	1
FUNDC1	2633	2677	1532	1640
DUSP21	0	0	0	0
CXorf36	0	1	0	0
LINC01204	0	0	0	0
LOC392452	0	0	0	0
MIR221	17	10	3	0
MIR222	0	0	0	0
LOC401585	2	0	1	2
LINC01186	0	0	0	0
KRBOX4	712	784	518	538
ZNF674-AS1	481	494	107	117
CHST7	317	261	215	195
RP2	1758	1843	1600	1567
LINC01545	3	2	1	4
RGN	4	1	1	1
NDUFB11	7356	7970	6815	6953
UBA1	61854	65055	30233	31452
INE1	72	45	44	50
CDK16	14686	14427	9173	9340
USP11	9817	10302	10361	10346
ZNF157	43	33	75	62
SNORA11C	0	0	0	0
LINC01560	169	183	73	67
ARAF	5231	5334	2927	2905
TIMP1	2568	2628	2080	2337
MIR4769	0	0	0	0
CFP	7	4	7	4
ELK1	5164	5410	4905	4623
UXT	2979	3056	2579	2647
UXT-AS1	8	6	3	2
ZNF182	667	620	541	549
SPACA5	0	0	0	0
ZNF630-AS1	0	0	0	0
ZNF630	78	84	73	66
SSX6	0	0	0	0
SPACA5B	0	0	0	0
SSX5	0	0	0	0
SSX1	0	0	1	3
SSX9	0	0	0	0
SSX3	0	0	0	0
SSX4	0	0	0	0
SSX4B	0	0	0	0
SLC38A5	8	4	3	6
FTSJ1	3619	3556	1714	1675
LOC101927635	9	13	14	19
PORCN	672	634	296	321
EBP	7128	7454	4129	4620
TBC1D25	1808	1807	1449	1501
RBM3	39709	41031	41954	43917
WDR13	1891	1969	1503	1453
WAS	29	14	27	18
SUV39H1	3176	3303	2763	2905
GLOD5	0	0	0	0
GATA1	2	1	1	2
HDAC6	2259	2279	850	975
ERAS	0	2	0	1
PCSK1N	324	219	562	360
TIMM17B	8633	9282	6048	6405
PQBP1	5708	5796	2907	3226
SLC35A2	2437	2702	2327	2319
PIM2	2700	2702	1696	1727
OTUD5	5742	6059	5404	5609
KCND1	47	39	8	9
GRIPAP1	2337	2233	1216	1331
TFE3	2485	2489	2830	2947
CCDC120	874	812	798	844
PRAF2	2023	2144	2101	2164
WDR45	2187	2237	1312	1364
GPKOW	2067	2174	991	1003
MAGIX	93	81	84	87
PLP2	219	252	288	326
PRICKLE3	636	619	555	553
SYP	1863	1847	1034	1185
SYP-AS1	1	0	3	0
CACNA1F	1	1	0	0
CCDC22	2039	1977	1114	1167
FOXP3	42	32	16	30
GAGE10	0	0	0	0
GAGE12J	0	0	0	0
GAGE13	0	0	0	0
GAGE12C	0	0	0	0
GAGE12E	0	0	0	0
GAGE12F	0	0	0	0
GAGE12G	0	0	0	0
GAGE12H	0	0	0	0
GAGE2A	0	0	0	0
GAGE1	0	0	0	1
PAGE1	0	1	0	0
PAGE4	1	1	4	6
USP27X-AS1	130	122	79	100
USP27X	462	480	500	516
MIR532	0	0	0	0
MIR188	0	0	0	0
MIR500A	0	0	0	0
MIR362	0	0	0	0
MIR501	0	0	0	0
MIR500B	0	0	0	0
MIR660	0	0	0	0
MIR502	0	0	0	0
BMP15	0	0	0	0
LINC01284	0	1	0	0
NUDT10	693	692	517	526
CXorf67	3	0	2	2
NUDT11	3423	3493	1374	1374
LINC01496	0	0	0	0
CENPVP2	0	0	0	0
CENPVP1	0	0	0	0
GSPT2	63	79	96	98
MAGED1	18729	19029	15225	16413
MAGED4B	1	0	0	1
SNORA11E	0	0	0	0
MAGED4	1	0	0	0
SNORA11D	0	0	0	0
MIR8088	0	0	0	0
XAGE2	0	0	0	0
XAGE1B	0	0	0	0
XAGE1E	0	0	0	0
SSX8	0	0	0	0
SSX7	0	0	0	0
SSX2	0	0	0	0
SSX2B	0	0	0	0
SPANXN5	0	0	0	0
XAGE5	0	0	0	0
XAGE3	0	2	0	0
FAM156B	23	24	27	20
GPR173	0	1	0	0
KANTR	58	43	33	22
MIR6895	1	1	0	0
MIR6894	0	0	0	0
IQSEC2	317	341	602	610
SMC1A	30319	28855	26935	28663
MIR6857	0	0	0	0
RIBC1	106	129	60	72
HSD17B10	14080	15559	11175	11885
MIR98	1	1	1	0
MIRLET7F2	0	0	0	0
TSR2	5796	6257	4782	4881
FGD1	2393	2268	2293	2361
GNL3L	3895	3301	1426	1431
MAGED2	9836	10015	6944	7371
SNORA11	2	2	3	2
TRO	2697	2773	2894	3032
PFKFB1	30	18	14	25
APEX2	4269	4421	3725	4165
ALAS2	0	0	2	2
PAGE2B	0	0	0	0
PAGE2	0	0	0	0
FAM104B	1204	1198	943	1017
MTRNR2L10	0	0	0	0
SNORA109	0	0	0	0
PAGE5	0	0	0	0
PAGE3	0	0	0	0
LOC100421746	0	0	0	0
MIR4536-1	0	0	0	0
MIR4536-2	0	0	0	0
MAGEH1	66	51	32	33
USP51	209	205	194	194
FOXR2	0	0	0	0
RRAGB	676	638	497	544
UBQLN2	4644	4679	2004	2042
UQCRBP1	4	1	9	2
SPIN3	717	674	299	314
SPIN2B	188	171	196	139
SPIN2A	1	0	2	0
ZXDB	768	732	223	267
NLRP2P	1	0	0	0
ZXDA	214	193	169	204
SPIN4	2024	2102	1257	1311
ARHGEF9-IT1	0	0	0	0
MIR1468	0	0	0	0
AMER1	2423	2627	1576	1608
ZC3H12B	252	207	102	101
LAS1L	10784	11253	6391	6902
FRMD8P1	0	0	0	0
MSN	12123	12685	12961	13239
MIR223	0	0	0	0
VSIG4	1	0	0	0
EDA2R	105	137	321	358
YIPF6	3816	3803	6060	6007
EFNB1	1265	1273	1777	1781
PJA1	3860	3868	2807	2879
FAM155B	1924	1867	1052	1109
MIR676	0	0	0	0
AWAT2	0	0	0	0
OTUD6A	0	0	0	0
IGBP1	3548	3864	2889	3075
DGAT2L6	2	0	0	0
AWAT1	2	3	0	0
P2RY4	4	1	1	1
ARR3	15	11	8	9
RAB41	52	64	41	45
PDZD11	3830	4097	3600	3723
GDPD2	3	4	0	1
DLG3	2123	2225	1355	1425
DLG3-AS1	17	19	5	7
SLC7A3	329	362	283	273
SNX12	9139	10074	6936	7165
FOXO4	1288	1336	1001	1104
CXorf65	0	2	1	0
IL2RG	0	1	0	0
MED12	4503	4282	2146	2137
NLGN3	56	56	18	25
GJB1	0	0	0	0
ZMYM3	5705	5824	3665	3825
NONO	68698	69886	30505	33261
INGX	0	0	0	0
ACRC	43	39	37	32
CXCR3	0	0	0	0
LOC100129291	0	0	0	0
LOC101059915	0	0	0	0
LINC00891	0	0	0	0
CXorf49	0	0	0	0
CXorf49B	0	0	0	0
LOC100132741	0	0	0	0
RPS26P11	0	2	1	0
RGAG4	352	344	508	545
FLJ44635	7	5	4	4
RPS4X	261686	279968	178957	192901
CITED1	1101	992	1333	1387
LOC101928259	0	4	0	2
FAM226B	0	0	0	0
LOC100132304	0	0	0	0
DMRTC1B	0	0	0	0
DMRTC1	0	0	0	0
LINC00684	0	0	0	0
FAM226A	0	0	0	0
PABPC1L2B-AS1	0	0	0	0
PABPC1L2B	0	0	0	0
PABPC1L2A	0	0	0	0
NAP1L6	0	0	0	0
NAP1L2	869	924	510	541
CDX4	0	0	0	0
XIST	22074	15467	7480	5707
MIR421	1	1	0	0
MIR374B	0	1	0	0
MIR374C	0	0	0	0
MIR545	1	0	0	0
MIR374A	0	0	0	0
ZCCHC13	0	0	0	0
RLIM	8234	7850	5294	5436
UPRT	1048	1152	1289	1311
TTC3P1	66	56	26	23
MAGEE2	0	0	0	0
PBDC1	2234	2151	986	1019
MAGEE1	818	853	559	580
MIR384	0	0	0	0
MIR325	0	0	0	0
FGF16	0	0	0	0
COX7B	12686	12866	8501	8370
PGAM4	28	20	9	6
TAF9B	6354	6286	5366	5690
CYSLTR1	0	0	0	0
ZCCHC5	0	0	0	0
LPAR4	0	0	0	0
MIR4328	0	0	0	0
P2RY10	0	0	0	0
GPR174	0	0	0	0
ITM2A	2	3	2	1
TBX22	0	0	0	0
CHMP1B2P	0	0	0	0
POU3F4	0	0	0	0
MIR548I4	0	0	0	0
SATL1	1	1	0	1
LOC101928128	7	3	7	4
ZNF711	2150	2090	1235	1278
MIR1321	0	0	0	0
MIR361	0	0	0	0
CPXCR1	1	0	0	0
TGIF2LX	0	0	0	1
PABPC5-AS1	0	0	0	0
PABPC5	0	0	0	0
NAP1L3	1247	1160	383	431
FAM133A	11	13	9	3
MIR548M	0	0	0	0
BRDTP1	0	0	0	0
RPA4	7	3	1	1
DIAPH2-AS1	0	0	0	1
TNMD	7	5	2	6
TSPAN6	11047	11404	6609	6808
SYTL4	504	530	386	406
CSTF2	5659	5697	5191	5361
NOX1	96	67	116	131
ARL13A	3	1	3	5
TRMT2B	2281	2364	2061	2204
TMEM35A	6	6	12	15
CENPI	2802	2780	1961	2060
DRP2	31	37	21	20
TAF7L	12	16	9	8
TIMM8A	2278	2260	1412	1578
BTK	13	16	21	19
RPL36A	347	276	171	175
RPL36A-HNRNPH2	1	0	1	0
GLA	11179	11904	6950	7234
HNRNPH2	51	75	44	44
ARMCX1	1	0	0	3
ARMCX6	805	824	671	788
ARMCX3	2677	2692	2401	2674
ARMCX2	127	122	156	149
ZMAT1	3	3	3	5
TCEAL2	0	0	0	0
TCEAL6	0	0	0	0
BEX5	94	110	44	50
NXF2	0	0	0	0
TCP11X2	0	0	0	0
TMSB15A	663	668	509	458
NXF4	1	0	1	0
ARMCX5	2002	2028	1196	1301
GPRASP1	56	48	30	31
GPRASP2	161	167	97	116
BHLHB9	1574	1520	1510	1558
LINC00630	508	524	394	397
RAB40AL	4	4	3	4
BEX1	330	298	309	295
NXF3	1	1	2	0
BEX4	4807	4923	2336	2544
TCEAL8	5338	5416	5924	6325
TCEAL5	0	0	1	0
BEX2	3786	3897	3234	3356
TCEAL7	23	12	33	43
TCEAL9	5988	6030	4162	4687
BEX3	18540	18542	13734	14185
RAB40A	61	60	54	55
TCEAL4	6785	6796	4666	5036
TCEAL3	82	72	96	90
TCEAL1	2282	2280	1610	1809
MORF4L2-AS1	71	50	33	29
GLRA4	1	0	0	0
TMEM31	3	17	6	3
PLP1	0	2	3	5
RAB9B	557	579	541	570
TMSB15B	717	681	706	762
H2BFXP	0	0	0	0
H2BFWT	1	0	2	0
H2BFM	1	2	2	4
LOC100101478	7	11	8	6
SLC25A53	414	455	345	360
ZCCHC18	155	156	60	70
LOC286437	116	104	57	67
FAM199X	11756	11443	9657	9832
ESX1	58	50	50	45
TEX13A	0	0	0	0
CXorf57	7612	7454	6351	6556
MIR548AN	11	6	6	1
RNF128	1144	1123	998	1062
RIPPLY1	0	1	0	0
CLDN2	2	0	1	0
NUP62CL	1121	1048	1743	1731
FRMPD3-AS1	0	0	0	0
FRMPD3	124	162	189	201
PRPS1	20691	21915	13029	14131
LOC101928335	0	0	0	0
TEX13B	0	1	2	1
VSIG1	9	7	5	1
PSMD10	10071	10072	8229	8809
IRS4	34283	32172	33827	32647
LOC101928358	538	517	128	128
MIR6087	0	0	0	1
NXT2	2701	2766	1633	1599
KCNE5	9	6	0	1
MIR652	0	0	0	0
MIR3978	0	0	0	0
SNORD96B	0	0	0	0
RGAG1	7	10	5	2
TDGF1P3	0	0	0	0
CAPN6	4	0	5	5
LINC00890	0	0	0	0
ALG13	4480	4452	1625	1800
TRPC5OS	0	1	1	0
LHFPL1	0	0	1	2
AMOT	44488	43369	51844	52295
MIR4329	0	0	0	0
XACT	0	0	0	0
SNORA35	0	0	0	0
MIR764	0	0	0	0
MIR1912	0	0	0	0
MIR1264	0	0	0	0
MIR1298	0	0	0	0
MIR1911	0	0	0	0
MIR448	0	0	0	0
IL13RA2	1	0	0	1
RBMXL3	0	0	0	0
LUZP4	4	1	0	0
PLS3-AS1	14	12	17	22
AGTR2	1	0	0	0
SLC6A14	0	0	0	0
CT83	0	0	0	0
LOC100126447	0	0	0	0
MIR1277	0	0	0	0
ZCCHC12	2591	2578	2006	2120
LINC01285	3	2	2	4
PGRMC1	16727	16638	19612	20265
LOC101928336	8	6	2	3
SLC25A5-AS1	111	116	102	88
SLC25A5	72746	76205	45290	48008
CXorf56	2979	2614	2329	2571
UBE2A	7951	7632	6072	6335
NKRF	7680	7844	5410	5889
MIR766	0	0	0	0
SOWAHD	22	18	37	38
RPL39	55207	56933	37193	39371
SNORA69	57	48	23	24
UPF3B	4132	3784	3876	4317
RNF113A	1600	1668	975	1053
NDUFA1	11500	11884	8272	8731
AKAP14	3	5	4	1
RHOXF1P1	4	2	2	5
RHOXF2B	0	0	0	0
RHOXF1	1	4	0	5
LINC01402	2	2	2	2
RHOXF2	0	0	0	0
NKAPP1	200	219	162	193
ZBTB33	7840	7751	3528	3637
TMEM255A	357	353	350	403
ATP1B4	0	0	0	2
CUL4B	12771	12430	12209	12399
MCTS1	5635	5540	4219	4301
C1GALT1C1	3539	3625	1880	1967
CT47B1	0	0	0	0
CT47A12	0	0	0	0
CT47A11	0	0	0	0
CT47A10	0	0	0	0
CT47A9	0	0	0	0
CT47A8	0	0	0	0
CT47A7	0	0	0	0
CT47A6	0	0	0	0
CT47A5	0	0	0	0
CT47A4	0	0	0	0
CT47A3	0	0	0	0
CT47A1	0	0	0	0
GLUD2	82	58	28	37
MIR3672	0	0	0	0
LOC101928402	39	32	29	29
SH2D1A	1	0	0	0
TEX13C	0	0	0	0
LOC101928495	0	0	0	1
DCAF12L2	0	0	0	0
DCAF12L1	0	0	0	0
PRR32	0	0	0	0
ACTRT1	0	0	1	0
OCRL	4829	4755	12049	12313
APLN	129	143	247	245
SASH3	0	0	0	0
ZDHHC9	6168	6644	2755	2910
UTP14A	6070	5855	3693	3906
ELF4	1283	1358	1196	1186
RAB33A	3	3	3	2
ZNF280C	1784	1502	1542	1535
SLC25A14	1996	2095	1869	2000
GPR119	0	0	0	0
RBMX2	4093	4104	3517	3838
FAM45BP	60	41	24	35
LOC105373338	0	0	0	0
LINC01201	0	0	0	0
IGSF1	11	13	12	10
OR13H1	0	0	0	0
STK26	6912	6645	5298	5718
RAP2C	6473	6622	5704	6011
HS6ST2-AS1	0	0	0	0
USP26	0	0	0	0
TFDP3	0	0	1	0
GPC4	3288	3374	3281	3263
MIR363	0	0	0	0
MIR92A2	0	0	0	0
MIR19B2	0	0	0	0
MIR20B	0	0	0	0
MIR18B	0	0	0	0
MIR106A	0	0	0	0
CCDC160	30	28	18	17
PHF6	14008	13363	8666	8829
MIR450B	0	1	0	0
MIR450A1	0	0	0	0
MIR450A2	0	0	0	0
MIR542	0	0	0	1
MIR503HG	65	67	35	42
MIR503	0	1	0	0
MIR424	0	0	0	0
LINC00629	11	3	19	21
FAM122B	6193	5980	3104	3114
FAM122C	318	303	259	282
MOSPD1	2205	2178	1305	1388
LOC340581	0	0	2	1
SMIM10	952	890	513	565
FAM127C	2512	2506	2028	1984
FAM127A	5141	5198	4644	4767
FAM127B	4954	5201	4506	4683
SMIM10L2B	359	362	659	803
LINC00633	1	0	0	0
LOC100287728	1	0	0	0
CT55	10	9	3	4
ZNF449	554	458	583	529
SMIM10L2A	521	599	499	556
INTS6L-AS1	3	6	2	6
CT45A1	0	0	0	0
CT45A3	0	0	0	0
CT45A5	0	0	0	0
CT45A6	0	0	0	0
CT45A2	0	0	0	0
CT45A7	0	0	0	0
CT45A8	0	0	0	0
CT45A9	0	0	0	0
CT45A10	0	0	0	0
SAGE1	0	0	0	1
MMGT1	7840	7901	7858	7743
SLC9A6	4524	5084	5425	5433
MAP7D3	4646	4421	3711	3935
BRS3	2	0	0	0
HTATSF1	14164	13496	10284	11636
VGLL1	0	0	0	0
MIR934	0	0	0	0
LINC00892	0	0	0	0
CD40LG	0	0	0	0
RBMX	43942	44077	21621	23182
SNORD61	2	0	0	0
GPR101	0	0	0	0
ZIC3	1246	1132	985	977
LINC00889	0	0	0	0
MIR504	0	0	0	0
FGF13-AS1	0	0	0	0
SRD5A1P1	0	0	0	0
F9	0	0	0	0
ATP11C	6216	5860	5269	5491
MIR505	0	0	0	0
CXorf66	0	1	0	0
LOC389895	52	55	51	49
SOX3	46	40	22	22
CDR1	105	105	59	49
MIR320D2	0	0	0	0
SPANXB1	0	0	0	2
LDOC1	2675	2649	1770	1724
SPANXC	0	0	0	0
SPANXA1	0	0	0	0
SPANXA2	0	0	0	0
LOC645188	0	0	0	0
SPANXD	0	0	0	0
MAGEC3	0	0	0	0
MAGEC1	3	5	3	4
MAGEC2	9	7	7	3
SPANXN4	0	0	0	0
SPANXN3	4	2	0	1
SLITRK4	0	0	0	0
SPANXN2	0	0	0	0
UBE2NL	2	1	2	3
SPANXN1	0	0	0	0
SLITRK2	1	0	0	0
TMEM257	0	1	0	0
MIR892C	0	0	0	0
MIR890	0	0	0	0
MIR888	0	0	0	0
MIR892A	0	0	0	0
MIR892B	0	0	0	0
MIR891B	0	0	0	0
MIR891A	0	0	0	0
CXorf51B	0	0	0	0
CXorf51A	0	0	0	0
MIR513C	0	0	0	0
MIR513B	0	0	0	0
MIR513A1	0	0	0	0
MIR513A2	0	0	0	0
MIR506	0	0	0	0
MIR507	0	0	0	0
MIR508	0	0	0	0
MIR514B	0	0	0	0
MIR509-2	0	0	0	0
MIR509-3	0	0	0	0
MIR509-1	0	0	0	0
MIR510	0	0	0	0
MIR514A1	0	0	0	0
MIR514A2	0	0	0	0
MIR514A3	0	0	0	0
FMR1-AS1	4	5	3	2
FMR1	5202	4553	9454	9991
FMR1NB	0	1	0	1
IDS	4728	4598	6157	6339
LINC00893	60	37	39	34
LOC101928917	3	0	0	0
MAGEA9B	0	0	0	1
HSFX2	3	5	6	0
TMEM185A	1241	1214	1089	1101
MAGEA11	1	3	0	0
HSFX1	0	0	0	0
MAGEA9	0	0	0	0
LINC00850	0	0	0	0
MAGEA8-AS1	0	0	0	0
MAGEA8	0	0	1	1
CXorf40B	2808	2990	2448	2513
MIR2114	0	0	0	0
HMGB3	12697	12081	7127	7691
MIR4330	0	0	0	0
GPR50-AS1	1	0	0	0
GPR50	310	403	188	245
VMA21	7890	7446	4239	4537
LOC105377213	6	1	5	5
PRRG3	0	0	0	0
FATE1	1	0	0	0
CNGA2	0	0	1	0
LOC105373368	0	0	0	0
MAGEA4	0	1	0	0
GABRE	0	0	0	0
MIR224	0	0	0	0
MIR452	0	0	0	0
MAGEA5	0	0	0	0
MAGEA10-MAGEA5	0	0	0	0
MAGEA10	0	0	1	0
MIR105-1	0	0	0	0
MIR767	0	0	0	0
MIR105-2	0	0	0	0
GABRQ	12	10	1	1
MAGEA2B	0	0	0	0
CSAG1	0	2	0	0
MAGEA12	0	0	0	2
CSAG4	0	0	0	0
MAGEA2	1	0	0	0
CSAG3	1	3	3	2
MAGEA6	21	17	15	12
NSDHL	5928	6468	4989	5269
PNMA5	0	0	1	0
PNMA3	2	0	1	2
PNMA6A	443	464	305	297
MAGEA1	1	4	2	0
ZNF275	3978	3957	3870	3959
ZFP92	0	0	0	0
TREX2	80	86	45	76
BGN	1	1	0	1
ATP2B3	16	12	27	23
FAM58A	2844	2952	2314	2269
LOC105373383	47	39	32	27
DUSP9	1292	1205	976	1000
PNCK	31	25	27	40
SLC6A8	8673	8887	5745	6246
BCAP31	23378	25037	21566	23306
ABCD1	301	276	596	576
PLXNB3	3	5	6	6
SRPK3	47	34	4	5
IDH3G	6354	6486	4725	4920
SSR4	12991	13931	9701	9467
PDZD4	265	245	357	356
LCA10	0	0	0	1
AVPR2	0	1	0	1
ARHGAP4	21	12	5	19
NAA10	13063	13045	5449	5622
RENBP	60	43	6	12
HCFC1	15840	14181	9426	9244
HCFC1-AS1	6	6	4	16
TMEM187	293	275	595	562
MIR3202-1	0	0	0	0
MIR3202-2	0	0	0	0
IRAK1	21891	21608	12736	13065
MIR718	0	0	0	0
MECP2	6546	6445	6645	6669
OPN1LW	0	0	0	0
OPN1MW	0	0	0	0
OPN1MW2	0	0	0	0
TKTL1	51	48	49	56
FLNA	24347	23790	17933	17759
EMD	9954	9921	5217	5139
RPL10	180761	192507	112894	123892
SNORA70	372	312	148	167
TAZ	1708	1743	1327	1506
CH17-340M24.3	231	254	219	279
ATP6AP1	18259	19319	14955	15465
GDI1	11613	12014	17263	18318
FAM50A	7263	7475	4204	4666
MIR6858	0	0	0	0
PLXNA3	799	676	721	731
LAGE3	4333	4394	3565	3680
UBL4A	9273	9993	7596	8147
SLC10A3	1339	1287	786	821
FAM3A	3171	3092	2593	2382
IKBKG	1027	1022	478	481
FAM223A	0	0	0	0
CTAG1A	0	0	0	1
CTAG1B	0	0	0	0
FAM223B	0	0	0	0
CTAG2	1	2	1	2
GAB3	20	18	6	3
DKC1	24111	24781	13056	13847
SNORA36A	0	0	0	0
MIR664B	0	0	0	0
SNORA56	0	0	0	0
SMIM9	0	0	0	0
H2AFB1	0	0	0	0
F8A1	236	238	320	297
MIR1184-1	0	0	0	0
FUNDC2	8400	8491	7657	8013
CMC4	1087	1107	1078	1123
MTCP1	192	199	108	115
BRCC3	5149	4778	3833	4035
VBP1	14937	15270	7665	8044
RAB39B	678	651	909	874
LOC101927830	0	1	0	1
H2AFB2	0	0	0	0
F8A2	0	0	0	0
MIR1184-2	0	0	0	0
F8A3	0	0	0	0
MIR1184-3	0	0	0	0
H2AFB3	0	0	0	0
TMLHE-AS1	4	2	0	1
VAMP7	0	0	0	0
IL9R	0	0	0	0
DDX11L16	0	0	0	0
PCDH11Y	0	0	0	0
PRKY	0	1	3	0
NLGN4Y	0	0	0	0
TTTY14	0	0	0	0
XGY2	0	0	0	0
LINC00278	0	0	0	0
TTTY2B	0	0	0	0
TBL1Y	0	0	0	0
USP9Y	0	0	0	0
UTY	0	0	0	0
HSFY2	0	0	0	0
EIF1AY	0	0	0	0
RBMY1D	0	0	0	0
RBMY1J	0	0	0	0
TTTY4	0	0	0	0
DAZ3	0	0	0	0
DAZ4	0	0	0	0
BPY2C	0	0	0	0
SRY	0	0	0	0
RPS4Y1	0	0	0	0
ZFY	1	0	0	0
TGIF2LY	0	0	0	0
TTTY23B	0	0	0	0
TSPY2	0	0	0	0
LINC00280	0	0	0	0
TTTY1B	0	0	0	0
TTTY21B	0	0	0	0
TTTY7	0	0	0	0
TTTY8B	0	0	0	0
AMELY	0	0	0	0
